key,ko,en
HOME_SECTION_2_LINK_2,이걸로 무엇을 할 수 있나요?,What can you do with this?
HOME_SECTION_2_2,- 메이트는 오픈씨(세계 최대 NFT 거래소)에서 구입할 수 있습니다.,- Mates can be purchased at Opensea (the world's largest NFT marketplace).
HOME_SECTION_2_LINK_3,OPENSEA로 이동,Go to OPENSEA
HOME_SECTION_3_TITLE,사명,MISSION
HOME_SECTION_3,- DSC의 사명은 NFT에 기반한 거버넌스를 통해 사회에 선한 영향력을 결집해내는데에 있습니다.,- The mission of DSC is to achieve gather power of a good influence on society through NFT-based governance.
HOME_ROADMAP_TITLE,Roadmap Activations,ROADMAP ACTIVATIONS
HOME_ROADMAP_30,액티비티 '도지사운드 경연'을 활성화합니다.,Activate the activity 'Doge Sound Contest'.
HOME_ROADMAP_DOGESOUND_LINK,도지사운드 경연이 뭔가요?,What is the Doge Sound Contest?
HOME_ROADMAP_50,"액티비티 '메이트의 이름', '지울 수 없는 일기장'을 활성화합니다.","Activate the activities 'Name Your Mate' and '""Indelible Diary'."
HOME_ROADMAP_70,액티비티 '팔로우 미'를 활성화합니다. 로우파이 비디오를 업로드합니다.,Activate the activity 'Follow Me'. Upload a lo-fi video.
HOME_ROADMAP_100,도지사운드클럽 메이트 V2를 런칭합니다. 기존 메이트 홀더들에게 유리한 결제 방식으로 런칭됩니다.,Doge Sound Club Mate V2 is launched. It is launched as a payment method favorable to existing mate holders.
HOME_SECTION_4_TITLE,Team,TEAM
HOME_SECTION_4,- ARVITOR (Manager) : 그림을 조합하는 프로그램을 만들었습니다. 슈퍼 컬렉터가 되고 싶습니다.\n- HANUL (Dev) : 블록체인 프로그래밍 종결자.\n- YONG JIN (Artist) : 메이트와 일러스트를 그려 주었습니다.,- ARVITOR (Manager): I made a program to assemble pictures. I want to become a super collector.\n- HANUL (Dev): The virtuoso of blockchain programming.\n- YONG JIN (Artist): I drew illustrations and MATES.
HOME_PARTNET_TITLE,Partnership
HOME_CONTACT_TITLE,Contact,CONTACT
HOME_CONTACT_KAKAOTALK,카카오톡,KAKAOTALK
HOME_CONTACT_KAKAOTALK_PASSWORD,참여코드 : 10000,PASSWORD : 10000
HOME_CONTACT_DISCORD,디스코드,DISCORD
HOME_CONTACT_TELEGRAM,텔레그램
HOME_CONTACT_TWITTER,트위터,TWITTER
HOME_CONTACT_INSTAGRAM,인스타그램,INSTAGRAM
HOME_CONTACT_MEDIUM,미디엄
HOME_CONTACT_GITHUB,깃허브,GITHUB
HOME_CONTACT_YOUTUBE,유튜브,YOUTUBE
HOME_CONTACT_EMAIL,이메일,EMAIL
FOLLOW_ME_DESCRIPTION,"귀하가 보유한 메이트에게 트위터, 인스타그램 아이디를 남기면 아래 명단에 등록됩니다. 소셜 미디어의 프로필 사진을 메이트로 변경하고, 아래 명단의 트위터들을 팔로우 해보세요. 그들은 당신이 같은 커뮤니티의 일원임을 알아차리고 당신의 소셜 미디어 진출을 돕기 위해, 맞팔로우를 해줄 것입니다.","If you leave a Twitter or Instagram ID for your mate, they will be registered on the list below. Change your social media profile picture to Mate, and follow the Twitter list below. They will recognize that you are part of the same community and will follow you back to help you adapt on social media."
FOLLOW_ME_TWITTER,트위터,Twitter
FOLLOW_ME_INSTAGRAM,인스타그램,Instagram
BUY_MATES_DESCRIPTION,메이트는 세계 최대의 NFT 거래소인 Opensea에서 구매하실 수 있습니다.,"Mate can be purchased on Opensea, the world's largest NFT marketplace."
BUY_MATES_WARNING,* 최근 메이트를 복제한 허위 NFT들이 많이 생겨나고 있습니다. 공식 오픈씨 주소는 https://opensea.io/collection/dogesoundclub-mates 입니다. 주소를 반드시 확인하시고 사기 프로젝트에 주의하시기 바랍니다.,* There are a lot of fake NFTs that cloned their mates recently. The official OpenSea address is https://opensea.io/collection/dogesoundclub-mates. Be sure to check your address and beware of scam projects.
BUY_MATES_BUTTON,Opensea에서 메이트 구매하기,Buy Mates on Opensea
MATES_SECTION_1_TITLE,DSC MATES가 무엇인가요?,What is DSC MATES?
MATES_SECTION_1,"- dsc mates는 10,000개의 모양이 모두 제각기 다른 캐릭터로 24*24 픽셀 아트입니다.\n- 10,000개의 제각기 다른 모습의 메이트를 생성하기 위해 10개의 얼굴 그리고 80여 개의 특성을 조합했습니다. 똑같은 것은 없습니다. 특성에 따른 메이트 정보는 본 홈페이지의 gallery에서 조회하실 수 있습니다.\n- 10,000개의 메이트 모두 같은 조건 아래에서 무작위로 생성되었습니다. 인위적으로 희귀하게 생성된 것은 없습니다.","- DSC MATES are 24*24 pixel art with 10,000 different characters, all with different shapes.\n- 10 faces and over 80 traits were combined to create 10,000 different looking mates. Nothing is the same. Mate information according to characteristics can be viewed in the gallery of this website.\n- All 10,000 mates were randomly generated under the same conditions. Nothing is artificially rare."
MATES_SECTION_2_TITLE,소유권 (nft 초보자를 위한 설명),Ownership (Explanation for NFT beginners)
MATES_SECTION_2,"메이트에 대한 소유권 정보는 클레이튼 블록체인에 기록되어 있습니다.\n\n원활한 소유권 거래를 위해 10,000개의 암호화폐를 발행을 하였습니다. 쪼개지지 않는 이 10,000개의 암호화폐는 각각 0~9999까지 고유한 번호를 가지고 있습니다. 고유번호를 가지고 있는 한 개의 암호화폐에 메이트 한 개를 연결했습니다. 때문에 귀하의 암호화폐 지갑에 DSC MATES의 정보를 담은 암호화폐 13번이 있다면, 귀하는 13번 메이트의 명백한 주인임이 증명됩니다. 암호화폐와 메이트의 연결은 고정불변으로, 영원히 수정되지 않도록 만들어져 있습니다.\n\n이러한 방식의 소유권 증명은 암호화폐 기술과 같은 근본을 가지고 있습니다. 누구도 이를 조작할 수 없기에, 제 3자의 중개없이 안전한 거래를 가능케 합니다.","Ownership information for Mate is recorded on the Klaytn blockchain.\n\nWe issued 10,000 cryptocurrencies for a smooth ownership transaction. These 10,000 indivisible cryptocurrencies each have a unique number from 0 to 9999. One mate is linked to one cryptocurrency with a unique number. Therefore, if you have cryptocurrency number 13 with DSC MATES information in your cryptocurrency wallet, it proves that you are the clear owner of mate number 13. The connection between cryptocurrency and mate is immutable.\n\nThis type of proof of ownership has the same fundamentals as cryptocurrency technology's. Since no one can manipulate it, it enables secure transactions without third-party intermediaries."
MATES_SECTION_3_TITLE,무수히 발행되는 토큰 중에 특정 토큰이 DSC MATES임을 알 수 있는 방법,How to know that a specific token is original DSC MATES among countless issued tokens
MATES_SECTION_3,"컨트랙트를 통해 누구나 10,000개의 토큰을 만들어낼 수 있습니다. 때문에 무수한 컨트랙트 토큰 중에 무엇이 오리지널 DSC MATES를 나타내는 것인지 확인할 필요가 있습니다.\n\nDSC MATES 컨트랙트에는 2가지 변수가 저장되어 있습니다.\n1. hash : 6110b42d1575f2bfb80a98cb6ce7d6743fa249b6ee2be08467487c12f5f95753\n2. ipfs : QmfTimyAQTQjQsnvECn9U44LdnPzSDF2XREoP2WFdjHitQ\n\n1번은 10,000개의 메이트가 모두 들어 있는 정본 dscmates.png(위 그림 참조)에 대한 sha256 해시값입니다. 이는 정본 파일을 sha256로 변환 했을때만 얻을 수 있는 값입니다. 파일을 넣어 위 해쉬값이 나오지 않으면 정본이 아닙니다. (리눅스에서 ""openssl dgst -sha256 dscmates.png""를 통해 위 그림의 해쉬를 생성해보세요.) 무분별한 복제로 이 해쉬값을 가지고 있는 컨트랙트가 여러 개라면, 그 중 가장 먼저 생성된 것이 원본이고, 그 원본 컨트랙트가 담고 있는 토큰만을 거래하시면 됩니다.\n\n2번은 단일한 서버가 정본 그림을 잃어버리는 상황을 방지하기 위해, 정본을 분산 저장했고 이 그림을 불러올 수 있는 키(아이디)입니다.\n아래 경로에 접속하면, 분산 저장된 dsc mates 정본을 열람할 수 있습니다.","Anyone can create 10,000 tokens through the contract. Therefore, it is necessary to check which of the countless contract tokens represents the original DSC MATES.\n\nThe DSC MATES contract stores two variables.\n1. hash : 6110b42d1575f2bfb80a98cb6ce7d6743fa249b6ee2be08467487c12f5f95753\n2. ipfs : QmfTimyAQTQjQsnvECn9U44LdnPzSDF2XREoP2WFdjHitQ\n\n1 is the sha256 hash of the original dscmates.png (shown above) containing all 10,000 mates. This is a value that can only be obtained when the original file is converted to sha256. If the hash value for the file does not come out, it is not an authentic copy. (Try to generate the hash of the above figure through ""openssl dgst -sha256 dscmates.png"" in Linux.) If there are multiple contracts with this hash value due to reckless duplication, the first one created among them is the original. You only need to trade the tokens contained in this contract.\n\nNo.2 is the key (ID) that distributed and stored the original image to prevent a single server from losing the original image.\nBelow If you access the path, you can browse the distributed copy of dsc mates."
ACTIVITIES_SECTION_1,DSC는 DSC 정체성에 적합한 클럽 활동들을 제공합니다. 발행한 NFT를 활용한 기존에 없는 신선한 시도들을 하고 있습니다.,DSC offers club activities that fit the DSC identity. We are making fresh attempts that have not been made before.
ACTIVITIES_SECTION_2_TITLE,DOGESOUND COMPETITION (Only mate holders can join),DOGESOUND COMPETITION
ACTIVITIES_SECTION_2,Dogesound competiion은 클레이튼 체인 위에서 작동되는 개소리 경연입니다. 5개 이상의 메이트를 사용하면 개소리 후보를 제출할 수 있습니다. 최다 득표를 받은 도지사운드는 웹페이지 메인에 자동으로 게시됩니다. 사용한 메이트는 다음 회에 다시 사용할 수 있습니다. 도지사운드 후보 제출 또는 투표는 메이트 소유권에 일체 영향을 주지 않습니다. (개소리 예시 : 비트코인은 인류 최대의 뻘짓입니다. 또는 DSC가 좋아할만한 아무 문구),"The Dogesound competiion is a Best Doge Sound(Kak talk) contest that runs on top of the Klayton chain. If you have 5 or more MATEs, you can submit a Kaktalk candidates. Doge Sound that received the most votes is automatically posted on the main web page. A used mate can be used again next time. Submitting or voting for a DogeSound candidate will not affect mate ownership in any way. (Example of Dogesound : Bitcoin is humanity's biggest mistake, or any phrase that DSC holders might like)"
GALLERY_ID_INPUT,ID로 검색,Search by ID
GALLERY_RESET_FILTER_BUTTON,필터 초기화,RESET FILTER SETTING
MY_MATES_WALLET_ADDRESS,지갑 주소,WALLET ADDRESS
MATE_DETAIL_IMAGE_NORMAL_BUTTON,일반 이미지,General Image
MATE_DETAIL_IMAGE_TRANSPARENT_BUTTON,투명배경 이미지,No Background image
MATE_DETAIL_IMAGE_3D_BUTTON,3D로 보기,3D
MATE_DETAIL_OPENSEA_BUTTON,오픈씨에서 확인하기,See this mate on Opensea
MATE_DETAIL_SNS_TITLE,소셜 정보,Social Media Information
MATE_DETAIL_SNS_TWITTER,트위터,Twitter
MATE_DETAIL_SNS_INSTAGRAM,인스타그램,Instagram
MATE_DETAIL_MESSAGES_TITLE,{name}에게 남겨진 메시지들,Messages left for {name}
MATE_TRANSFER_BUTTON,메이트 전송하기,Transfer Mate
SET_PROFILE_MATE_BUTTON,이 메이트를 나를 표현하는 대표 메이트로 설정합니다.,Set this mate as the representative mate that represents you.
MATE_TRANSFER_CONFIRM_MESSAGE,"{name}을/를 전송받을 지갑 주소를 입력해주시기 바랍니다. 잘못 입력하는 경우 메이트를 되찾을 수 없으니, 반드시 지갑 주소를 여러번 확인하시기 바랍니다.","Please enter the address of the wallet where {name} will receive mates. If you make a mistake, you cannot get your mate back, so be sure to double-check your wallet address."
MATE_TRANSFER_CONFIRM_BUTTON,전송하기,Transfer
MATE_DETAIL_NAME_FORM_TITLE,메이트 이름 짓기,Name Your Mate
MATE_DETAIL_NAME_FORM_DESCRIPTION,"메이트에게 이름을 지어주세요. 아직 메이트의 이름이 없다면, 가스비만을 지불하여 이름을 지어줄 수 있습니다. 하지만 변경을 하려면, 100 믹스를 지불해야 합니다. 또한 메이트의 이름은 결코 삭제할 수 없습니다. 다른 메이트와 똑같은 이름을 사용할 수 없습니다. 그리고 메이트 이름은 갤러리에 표시됩니다.","Give your MATE a name. If your MATE doesn't have a name yet, you can give him a name by paying only the gas fee. But to make changes, you have to pay 100 mixes. When you have created your mate's name , it cannot be deleted (including the dev team). You cannot use the same name as another mate. And the mate names are displayed in the gallery and "
MATE_DETAIL_NAME_FORM_INPUT,메이트의 이름,MATE NAME
MATE_DETAIL_NAME_FORM_TERMS,"나는 메이트 이름을 변경하려면, 100 믹스를 지불해야 하고, 메이트의 이름은 결코 삭제할 수 없다는 사실을 잘 이해하고 있으며 동의합니다. 나는 제출된 이름과 같이 제출된 정보(제출 당시 메이트 소유주의 지갑 주소 등) 공개에 따른 모든 책임을 온전히 홀로 지는 것에 동의합니다. 나는 클레이튼 블록체인에 접속하기 위해 내가 선택한 이 도구와 관련하여 어떤 책임도 타인에게 물을 수 없다는 것에 대해 동의합니다.","I understand and agree that to change a MATE's name, you have to pay 100 mixes, and you can never delete a MATE's name. I agree to assume full responsibility for the disclosure of any submitted information, such as the submitted MATE's name and the wallet address of the owner of the mate at the time of submission. I agree that I cannot hold anyone responsible for this tool I have chosen to access the Klaytn Blockchain."
MATE_DETAIL_NAME_FORM_SUBMIT,제출하기,SUBMIT
MATE_NAME_EXISTS_ERROR,이미 존재하는 이름입니다.,This name already exists.
MATE_DETAIL_MESSAGE_FORM_TITLE,지울 수 없는 메시지,MATE_DETAIL_MESSAGE_FORM_TITLE
,INDELIBLE MSG
MATE_DETAIL_MESSAGE_FORM_DESCRIPTION,"당신이 보유한 메이트에게 메시지를 남길 수 있습니다. 하루에 한 번 짧은 일기 또는 메모를 남길 수 있습니다. 조심하세요! 한번 제출된 일기는 클레이튼 블록체인에 기록되며, 개발팀도 지울 수 없습니다. 당신의 흑역사를 대대손손 남기지 않으려면 정신을 바짝 차려야 할 것입니다. 일기는 타인이 열람할 수 있습니다.","You can leave a message to the MATEs you have. You can leave a short diary or note once a day. be careful! Once submitted, the diary is recorded on the Klaytn blockchain and cannot be erased by the development team. In order not to leave your dark history, you will have to be cautious. The diary can be read by others."
MATE_DETAIL_MESSAGE_FORM_INPUT,메이트에게 남길 메시지,MSG THAT I WILL LEAVE
MATE_DETAIL_MESSAGE_FORM_TERMS,"나는 제출된 일기가 변경 또는 삭제가 불가능하다는 블록체인의 속성을 잘 이해하고 있습니다. 나는 제출된 메시지와 같이 제출된 정보(제출 당시 메이트 이름, 제출 당시 메이트 소유주의 지갑 주소) 공개에 따른 모든 책임을 온전히 홀로 지는 것에 동의합니다. 나는 클레이튼 블록체인에 접속하기 위해 내가 선택한 이 도구와 관련하여 어떤 책임도 타인에게 물을 수 없다는 것에 대해 동의합니다.","I understand the nature of the blockchain that submitted diaries cannot be manipulated. I agree to assume all responsibility for the disclosure of submitted information, such as submitted messages , name of MATE at the time of submission and wallet address of owner of mate at the time of submission). I agree that I cannot hold anyone responsible for this tool I have chosen to access the Klaytn Blockchain."
MATE_DETAIL_MESSAGE_FORM_SUBMIT,제출하기,SUBMIT
MATE_DETAIL_MESSAGE_NOT_READY_ERROR,메이트에게 메시지를 남긴지 아직 24시간이 지나지 않았습니다.,It's been less than 24 hours since you left a message to your mate.
MATE_DETAIL_SNS_FORM_INPUT,소셜 정보 추가하기,Add my social media info
MATE_DETAIL_SNS_FORM_DESCRIPTION,"귀하가 보유한 메이트에게 트위터, 인스타그램 아이디를 남길 수 있습니다. 아이디를 남기면 Follow Me 명단에 등록되며, 오픈씨 디스크립션을 통해 노출됩니다. 소셜 미디어의 프로필 사진을 메이트로 변경하고, Follow Me 명단의 트위터들을 팔로우 해보세요. 그들은 당신이 같은 커뮤니티의 일원임을 알아차리고 당신의 소셜 미디어 진출을 돕기 위해, 맞팔로우를 해줄 것입니다.","If you leave a Twitter or Instagram ID for your mate, they will be registered on the list below. Change your social media profile picture to Mate, and follow the Twitter list below. They will recognize that you are part of the same community and will follow you back to help you adapt on social media."
MATE_DETAIL_SNS_FORM_TWITTER,트위터,Twitter
MATE_DETAIL_SNS_FORM_INSTAGRAM,인스타그램,Instagram
MATE_DETAIL_SNS_FORM_TERMS,"저장 버튼을 누르면 본 홈페이지, 타 플랫폼을 통해 나의 소셜 미디어 계정명이 노출되는 것에 동의하는 것으로 간주합니다. 이 인터페이스는 클레이튼에 접속하기 위해 본인이 선택한 편리한 도구일 뿐이며, 나의 서명으로 발생한 트랜잭션 결과에 대한 책임은 전적으로 나에게 있습니다.","By clicking the Save button, you agree to the disclosure of your social media account name through this website and other platforms. This interface is merely a convenient tool for accessing Klaytn, and I am solely responsible for the results of transactions resulting from my signature."
MATE_DETAIL_SNS_FORM_TWITTER_SUBMIT,트위터 저장,Save twitter ID
MATE_DETAIL_SNS_FORM_INSTAGRAM_SUBMIT,인스타그램 저장,Save Instagram ID
MATE_DETAIL_ON_CHAIN_TITLE,FULLY ON-CHAIN,FULLY ON-CHAIN
MATE_DETAIL_ON_CHAIN_SUBTITLE,nft 이미지의 완전한 온체인 저장에 성공하다. ㅡ 국내 최초,Succeeded in full on-chain storage of NFT images. ㅡ First in Korea
MATE_DETAIL_ON_CHAIN_DESCRIPTION,"메이트 V1을 만들 때, 메이트를 발행한 컨트랙트에 메이트 이미지의 암호화 해시를 저장함으로써, 메이트의 원본 컨트랙트가 무엇인지 명확히 구분할 수 있었습니다. 하지만 이미지 데이터가 모두 소실된 최악의 경우, 체인에 저장된 해시만으로는 이미지를 복구할 수 없습니다. 다시 말해 이미지 데이터가 완전히 체인에 저장되지 않았었고, 이는 메이트의 장기적인 생존에 문제가 될 수 있습니다. 하지만 컨트랙트에 해시가 아닌 이미지 자체와 메이트 특성 정보를 완전히 온체인에 저장하면 메이트의 장기적 생존을 더욱 공고히 하고 클레이튼 클라이언트만 있으면 누구나 완전히 액세스할 수 있습니다. 오늘(21년 8월 21일) 우리는 그 일을 완료했으며, 이제 메이트가 완전히 온체인 상태임을 발표하게 되어 기쁩니다 ! 심영재 개발자님 감사드립니다 !","When creating Mate V1, by storing a cryptographic hash of the MATE image in the contract that issued the MATE, we were able to clearly identify what the MATE's original contract was. However, in the worst case where all image data is lost, the hash stored in the chain alone cannot recover the image. In other words, the image data was not completely stored on-chain, which could be a problem for the long-term survival of the MATE . However, storing the image itself and the MATE attribute information completely on-chain, rather than a hash, in the contract further solidifies the long-term survival of the mates and makes them fully accessible by anyone with a Klaytn client. Today (Aug 21st, 21st) we've done it, and we're excited to announce that Mate is now fully on-chain! Thank you, dev HANUL !"
MATE_DETAIL_ON_CHAIN_DEMO_TITLE,데모,DEMO
MATE_DETAIL_ON_CHAIN_DEMO_DESCRIPTION,아래 불러온 이미지와 특성은 클레이튼 체인에 기록된 것입니다.,The images and attributes below are loaded from the Klaytn chain.
GOVERNANCE_DESCRIPTION,"메이트는 도지사운드클럽 거버넌스의 의결권을 나타냅니다. 제안을 하거나, 등록된 제안에 찬반을 메이트를 가진 개수만큼 투표할 수 있습니다. 제안을 하려면 메이트 25개가 필요합니다. ",MATE can be used as the voting rights for Doge Sound Club's governance. You can make a proposal or vote as many as you have MATEs. You need 25 MATEs to make a suggestion.
GOVERNANCE_PROPOSALS,제안들,Suggestions
GOVERNANCE_PROPOSE_BUTTON,제안 생성,Suggest
GOVERNANCE_PROPOSAL_VOTING,투표 중,Voting
GOVERNANCE_PROPOSAL_RESULT_FOR,제안 결과 : 지향,Result : Executed
GOVERNANCE_PROPOSAL_CANCELED,취소 됨,Result : Canceld
GOVERNANCE_PROPOSAL_RESULT_SAME,제안 결과 : 동점
GOVERNANCE_PROPOSAL_RESULT_AGAINST,제안 결과 : 지양,Result : Rejected
GOVERNANCE_PROPOSAL_EXECUTED,적용 완료,Applied
GOVERNANCE_PROPOSAL_BACK_BUTTON,뒤로 가기,Back
GOVERNANCE_PROPOSAL_REMAIN_BLOCKS,투표 종료까지 {block} 블록 남음,By end of voting {block} block left
GOVERNANCE_PROPOSAL_FOR,찬성,Agree
GOVERNANCE_PROPOSAL_AGAINST,반대,Oppose
GOVERNANCE_PROPOSAL_TITLE,제목
GOVERNANCE_PROPOSAL_TITLE_PLACEHOLDER,제안 제목을 입력하세요.
GOVERNANCE_PROPOSAL_PERIOD,투표 기간
GOVERNANCE_PROPOSAL_PERIOD_PLACEHOLDER,투표 기간을 블록 단위로 입력해주세요.
GOVERNANCE_PROPOSAL_SUMMARY,요약,Summary
GOVERNANCE_PROPOSAL_SUMMARY_PLACEHOLDER,제안의 핵심적인 부분만 적어주세요.
GOVERNANCE_PROPOSAL_CONTENT,본문,Description
GOVERNANCE_PROPOSAL_CONTENT_DESCRIOPTION,본문은 마크다운 문법을 사용하실 수 있습니다.
GOVERNANCE_PROPOSAL_CONTENT_MARKDOWN_BUTTON,마크다운 문법 보기
GOVERNANCE_PROPOSAL_CONTENT_PLACEHOLDER,제안을 설명해주세요.
GOVERNANCE_PROPOSAL_NOTE,비고,Note
GOVERNANCE_PROPOSAL_PROPOSER,제안자,Proposer
GOVERNANCE_PROPOSAL_TERM,"제출된 제안을 취소할 수 있지만, 수정할 수 없음에 동의합니다. 제안이 진행되는 기간동안 메이트가 거버넌스 계약 주소에 보관되는 것에 동의합니다. 이 인터페이스는 거버넌스를 위해 본인이 선택한 편리한 도구일뿐이며, 서명에 따른 모든 트랜잭션에 대한 결과에 대한 책임은 서명한 지갑 소유주에게 있음에 동의합니다."
GOVERNANCE_PROPOSE_SUBMIT_BUTTON,등록하기
GOVERNANCE_PROPOSE_SUBMIT_CONFIRM,"제안을 등록하시겠습니까? 등록에 사용되는 메이트는 투표 종료시까지 사용할 수 없으며, 제안 후에는 내용을 수정할 수 없사오니 다시 한 번 확인해주시기 바랍니다."
GOVERNANCE_PROPOSAL_VOTE_FOR,찬성
GOVERNANCE_PROPOSAL_VOTE_AGAINST,반대
GOVERNANCE_PROPOSAL_VOTE_BUTTON,투표하기,Vote
GOVERNANCE_PROPOSAL_FORM_TITLE,제안 생성툴,Suggestion Create Tool
GOVERNANCE_PROPOSAL_NEED_MORE_MATES_ERROR,제안에는 {proposeMateCount}개의 메이트가 필요합니다.
DOGESOUNDS_RULE_TITLE,도지사운드 경연 규칙,DOGESOUNDS_RULE_TITLE
,Doge Sound Contest Rule
DOGESOUNDS_RULE_1,"5개 이상의 메이트를 사용하면 개소리 후보를 제출할 수 있습니다.(경연 상태가 후보 접수 중일 경우. 도지사운드 후보 예시 : 비트코인은 인류 최대의 뻘짓입니다. , DSC는 쓰레기를 수집합니다.) 최다 득표를 받은 도지사운드는 웹페이지 메인에 자동으로 게시됩니다. 후보 제출 또는 투표에 사용한 메이트는 해당 투표에서 다시 사용할 수 없습니다.Dogesound competiion은 클레이튼 체인 위에서 작동되는 개소리 경연입니다. 5개 이상의 메이트를 사용하면 개소리 후보를 제출할 수 있습니다. 최다 득표를 받은 도지사운드는 웹페이지 메인에 자동으로 게시됩니다. 사용한 메이트는 다음 회에 다시 사용할 수 있습니다. 도지사운드 후보 제출 또는 투표는 메이트 소유권에 일체 영향을 주지 않습니다. (개소리 예시 : 비트코인은 인류 최대의 뻘짓입니다. 또는 DSC가 좋아할만한 아무 문구)","The Dogesound competiion is a Best Doge Sound(Kak talk) contest that runs on top of the Klayton chain. If you have 5 or more MATEs, you can submit a Kaktalk candidates. Doge Sound that received the most votes is automatically posted on the main web page. A used mate can be used again next time. Submitting or voting for a DogeSound candidate will not affect mate ownership in any way. (Example of Dogesound : Bitcoin is humanity's biggest mistake, or any phrase that DSC holders might like)"
DOGESOUNDS_RULE_WARNING,도지사운드 후보 제출 또는 투표 활동은 메이트 소유권에 일체 영향을 주지 않습니다.,DogeSound candidate submissions or voting activities do not affect MATE ownership in any way.
